,index,id,target,enzyme,smile,name
45,45,DB00203,O76074|P18545|Q13956,P08684|P20815|P24462|P11712|P33261|P10635|P05181,14|73|80|94|207|237|268|294|314|319|350|352|357|366|378|397|425|525|564|585|650|672|695|715|750|757|780|794|800|875|926|935|977|1005|1057|1105|1114|1145|1236|1238|1243|1380|1440|1452|1476|1480|1609|1613|1676|1724|1726|1729|1745|1750|1855|1873|1877|1897|1950|1956|1970,Sildenafil
46,46,DB00204,Q12809|O95069|Q14500,P08684,13|80|102|191|310|322|350|409|650|677|692|695|718|843|881|1034|1036|1045|1057|1152|1163|1203|1236|1243|1270|1380|1452|1476|1685|1750|1754|1836|1839|1873|1951|1958|1980,Dofetilide
47,47,DB00205,P00374|P13922|P07686,P10632,80|216|294|338|378|394|409|561|624|816|896|1057|1070|1128|1160|1171|1213|1240|1380|1457|1459|1578|1681|1683|1747|1750|1799|1855|1873|1897,Pyrimethamine
48,48,DB00206,Q05940|P54219|O15392,P20815,42|46|83|119|145|249|282|302|322|333|335|352|361|428|500|534|585|622|650|695|718|721|739|740|781|798|807|829|841|844|875|926|935|937|978|1019|1057|1086|1114|1126|1152|1196|1205|1292|1312|1327|1349|1357|1380|1385|1480|1536|1599|1649|1698|1701|1733|1738|1745|1750|1815|1854|1873|1892|1917|1936|1937|1946|1950|1970|1972|1980,Reserpine
49,49,DB00207,Q9UM07,P08684,42|80|140|206|231|248|251|269|278|294|314|349|438|486|514|560|612|644|649|650|656|679|687|695|722|737|739|750|807|841|869|881|886|926|935|941|960|984|1019|1057|1060|1145|1148|1154|1163|1173|1217|1257|1266|1274|1292|1303|1309|1313|1323|1341|1380|1381|1395|1427|1454|1479|1487|1491|1509|1519|1546|1629|1635|1679|1763|1779|1783|1788|1885|1905|1921|1950|1971|1991,Azithromycin
50,50,DB00208,Q9H244,P33261|P10635|P05164|P11712|P10632|P05177|P20813|P05181,14|42|80|117|175|295|366|554|561|585|675|842|926|935|974|1036|1088|1199|1236|1349|1380|1477|1480|1526|1567|1597|1683|1738|1750|1765|1791|1792|1873|1946|1990,Ticlopidine
51,51,DB00209,P11229|P20309,P10635,70|114|119|221|389|423|426|625|650|695|807|926|985|1019|1028|1088|1126|1199|1213|1264|1292|1295|1302|1305|1325|1380|1416|1417|1599|1630|1671|1750|1785|1786|1873|1908|1917|2017,Trospium
52,52,DB00211,P35348|P35368|P25100,P10635,1|27|41|42|80|94|102|197|227|237|249|322|481|581|606|650|695|718|781|807|841|875|981|1057|1152|1171|1268|1362|1380|1500|1536|1616|1750|1873|1917|1966|1970|1972,Midodrine
53,53,DB00213,P20648|O94760,P33261|P08684,1|80|110|119|249|322|333|343|359|373|378|427|429|462|474|613|643|650|664|695|718|723|787|841|875|961|989|1050|1057|1076|1097|1114|1205|1256|1265|1380|1452|1456|1536|1599|1666|1671|1739|1745|1750|1773|1855|1866|1873|1897|1917|1928|1970,Pantoprazole
54,54,DB00214,Q13621|P55011,P10632|P11712,1|103|117|191|283|307|329|350|378|392|457|491|502|547|587|650|703|807|819|875|1006|1013|1028|1039|1055|1057|1088|1152|1208|1224|1380|1404|1473|1476|1535|1586|1603|1606|1722|1750|1752|1823|1866|1873|1917|1928|1989,Torasemide
55,55,DB00215,P31645|P35367,P08684|P33261|P10635|P05177,80|84|90|102|176|286|305|345|484|556|604|609|652|656|674|693|699|790|795|875|881|926|946|963|1017|1057|1060|1080|1136|1163|1236|1304|1375|1380|1384|1410|1670|1750|1786|1854|1873|1911|1928|1951|1954|1975|1980,Citalopram
56,56,DB00216,P28221|P28222|P30939|P08908,P08684|P10635|P11712|P33261|P11509|P23219,52|80|104|119|201|245|291|310|319|328|350|364|376|389|446|458|481|486|562|575|650|806|875|926|935|978|1019|1028|1057|1088|1114|1145|1174|1184|1199|1243|1325|1349|1357|1367|1380|1476|1480|1539|1552|1750|1752|1754|1780|1873|1879|1937|1939,Eletriptan
57,57,DB00218,P43702|P43700|P11388,P05177,83|89|146|191|276|305|314|326|333|338|389|407|431|453|456|464|525|577|585|590|624|650|695|699|739|742|807|841|844|875|926|935|1019|1028|1047|1057|1114|1235|1325|1332|1357|1376|1380|1396|1402|1440|1494|1507|1536|1543|1599|1729|1840|1849|1873|1910|1912|1917|1928|1991,Moxifloxacin
58,58,DB00220,O90777,P08684|P24462|P20815|P20813|P33261|P22309|P11712|P10635,1|27|46|80|114|116|117|159|174|227|252|276|306|341|354|389|392|447|486|531|585|587|603|612|650|689|739|807|811|847|888|890|904|926|935|950|970|1019|1028|1039|1057|1075|1088|1093|1152|1187|1199|1227|1292|1325|1380|1399|1447|1500|1602|1607|1660|1682|1722|1750|1794|1831|1866|1873|1881|1917|1922|1991|2022,Nelfinavir
59,59,DB00222,Q14654|P48048|Q09428,P11712,9|13|80|189|197|198|218|294|307|310|314|319|331|350|387|454|502|564|633|650|667|715|772|807|828|879|883|926|935|973|1018|1019|1045|1057|1148|1152|1243|1309|1325|1380|1386|1387|1476|1507|1576|1606|1634|1655|1701|1722|1734|1750|1754|1799|1818|1873|1917|1946|1989,Glimepiride
60,60,DB00224,Q72874,P08684|P24462|P20815|P10635|P22309,1|12|55|74|79|80|114|159|227|231|233|257|258|284|354|371|378|387|389|392|437|440|531|573|603|645|650|680|689|739|807|849|857|864|886|926|935|1019|1027|1043|1057|1066|1081|1088|1152|1199|1205|1236|1257|1380|1388|1396|1480|1513|1535|1586|1603|1609|1660|1682|1706|1708|1750|1754|1755|1765|1771|1791|1866|1873|1877|1897|1917|1922|1957|2022|2038,Indinavir
61,61,DB00227,P04035|P20701|Q92769,P08684|Q15166|P10632|P22309|P35503|P16662|P33261,0|1|47|80|87|147|231|277|283|288|294|300|314|547|590|591|610|650|653|656|680|695|697|722|750|798|807|832|882|918|924|926|970|987|1004|1019|1057|1081|1083|1126|1231|1257|1292|1309|1380|1383|1391|1457|1544|1575|1621|1667|1760|1873|1916|1917|1999|2039,Lovastatin
62,62,DB00228,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|Q09470|Q16322|P16389|P22001|P22459|P22460|P17658|Q14721|Q92953|P48547|Q96PR1|Q14003|Q03721|Q9NSA2|Q9NZV8|Q9UK17|P15382|Q9Y6J6|Q9Y6H6|Q8WWG9|Q9UJ90|Q9H3M0|Q9UIX4|Q9UJ96|Q8TAE7|Q8TDN1|O95259|Q12809|Q9ULD8|Q9UQ05|Q8NCM2|Q9H252|Q9NS40|Q96L42|P51787|O43526|O43525|P56696|Q9NR82|Q96KK3|Q9BQ31|Q6PIU1|Q8TDN2|Q14722|Q13303|P98194|Q05586|Q12879|Q13224|Q14957|O15399|Q8TCU5|O60391|O14983|Q06432|Q9Y698|O60359|Q9UBN1|Q9UF02|Q9BXT2|P62955|Q8WXS5|P54289|Q9NY47|Q8IZS8|Q7Z3S7|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305|Q00975|O00555|Q15878|O43497|O95180|Q9P0X4|P23415,P05181,1|114|406|655|695|723|725|914|916|1050|1247|1341|1453|1542|1683|1928,Enflurane
63,63,DB00231,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928,P08684|P20813|P11712,5|7|106|165|216|314|326|352|378|389|561|650|724|736|807|816|843|875|935|941|969|987|1019|1057|1088|1094|1145|1160|1199|1223|1257|1295|1380|1471|1571|1600|1683|1750|1873|1915,Temazepam
64,64,DB00233,P35354|O15111|P09917|Q9NZK7,P05164,67|205|389|456|647|650|807|875|888|1047|1168|1171|1195|1380|1457|1519|1602|1607|1750|1873|1917|1991,Aminosalicylicacid
65,65,DB00234,P23975,P08684|P10635,1|80|237|265|294|305|389|407|411|425|470|499|649|656|664|695|802|812|894|926|949|950|1019|1057|1088|1114|1199|1238|1308|1365|1380|1406|1410|1452|1581|1695|1750|1811|1873|1945|1966|1970,Reboxetine
66,66,DB00238,Q72547,P20813|P08684|P20815|P11712|P11509|P10635|P05177|P24462,23|130|297|314|333|338|352|378|426|448|456|527|637|650|764|787|926|935|984|1019|1043|1057|1060|1088|1114|1325|1347|1380|1391|1426|1452|1498|1585|1657|1722|1750|1866|1873|1910|1922,Nevirapine
67,67,DB00239,P10613|Q04782|O75469,P08684|P33261,26|67|80|165|216|366|378|427|431|494|561|695|725|745|751|807|816|843|875|932|935|965|1050|1101|1147|1209|1312|1349|1373|1380|1463|1603|1632|1654|1681|1683|1741|1750|1775|1815|1857|1866|1873|1991|2006,Oxiconazole
68,68,DB00240,P04150,P08684,66|80|84|222|231|240|314|504|519|540|547|650|679|686|787|807|818|849|854|863|926|967|1009|1019|1020|1057|1060|1102|1154|1165|1257|1274|1277|1292|1309|1378|1380|1428|1436|1489|1556|1609|1612|1664|1683|1831|1873|1909|1917|1938|1960|1995|1997|2021|2026,Alclometasone
69,69,DB00242,P23921|P31350|Q7LG56|P09884|Q07864|P56282|Q9NRF9|Q9NR33|P00491,P27707,4|80|128|194|222|240|244|378|418|561|577|601|610|656|807|849|896|926|930|932|935|1019|1033|1095|1171|1209|1257|1292|1337|1380|1452|1457|1459|1463|1516|1683|1696|1701|1724|1764|1819|1855|1873|1921,Cladribine
70,70,DB00243,P35498|Q9Y5Y9|Q9UI33|Q99250|Q9NY46|P35499|Q14524|Q01118|Q9UQD0|Q15858|Q07699|O60939|Q9NY72|Q8IWT1|Q14500|Q9UNX9|P63252|P48050|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305|P35348|P35368|P25100|P08588,P08684|P10635,1|41|74|80|118|140|227|249|277|381|411|597|650|658|695|807|841|926|935|1039|1057|1076|1088|1152|1199|1284|1312|1353|1380|1391|1410|1452|1480|1485|1489|1536|1627|1722|1731|1750|1791|1816|1873|1917|1920|1922|1970|1999|2038,Ranolazine
71,71,DB00244,P35354|P23219|P09917|P37231|O15111|O14920|P05164|P9WJI5,P18440,61|389|456|647|650|807|875|888|1047|1168|1171|1211|1380|1457|1475|1602|1607|1750|1803|1873|1917|1991,Mesalazine
72,72,DB00246,P14416|P21728|P21918|P28223|P35462|P21917|P08908|P28222|P28221|P28566|P28335|P50406|P34969|P35367|P35348|P35368|P08913|P18089|P18825|P11229|P08172|P20309|P08173|P08912|P46098|O95264|Q8WXA8|Q70Z44|A5X5Y0|P47898,P08684|Q06278,74|80|122|130|218|314|366|378|393|407|453|461|473|478|514|561|584|624|650|675|680|802|875|885|926|935|965|968|1060|1088|1114|1145|1199|1236|1243|1323|1349|1357|1380|1472|1480|1482|1508|1564|1573|1575|1646|1677|1683|1750|1791|1834|1873|1964|1982,Ziprasidone
73,73,DB00247,P41595|P28335|P28223|P08908|P34969|P28222|P30939|P28566,P08684,1|45|80|98|117|201|222|231|294|352|361|424|428|464|482|486|511|524|650|689|716|739|742|779|807|837|911|918|926|935|963|966|984|1019|1039|1057|1088|1145|1152|1236|1285|1312|1380|1409|1410|1420|1544|1633|1750|1859|1873|1917|1970|1984|2013,Methysergide
